Time_sec,Neural_Amp_OpenLoop,Neural_Amp_ClosedLoop,Bio_Gamma,Artificial_Gamma_u,Total_System_Chi
17.71,-0.021774026570253506,0.0023191966923267575,0.1,11.209733552923247,0.8999999999999992
17.72,-0.02247075961174156,0.002437658752374831,0.1,11.209733552923247,0.8999999999999992
17.73,-0.0231092173850909,0.0025019671099631236,0.1,11.209733552923247,0.8999999999999992
17.740000000000002,-0.023646074794461184,0.002558855366177832,0.1,11.209733552923247,0.8999999999999992
17.75,-0.024126167914163037,0.0025620842268333386,0.1,11.209733552923247,0.8999999999999992
17.76,-0.024576535773095407,0.0024888320832864306,0.1,11.209733552923247,0.8999999999999992
17.77,-0.02496001744446224,0.002383450592218108,0.1,11.209733552923247,0.8999999999999992
17.78,-0.025246429274801672,0.0022787261413693954,0.1,11.209733552923247,0.8999999999999992
17.79,-0.02545435089674368,0.0021553845854290765,0.1,11.209733552923247,0.8999999999999992
17.8,-0.02559619589660249,0.0020028624645557886,0.1,11.209733552923247,0.8999999999999992
17.81,-0.025707165193576128,0.0017893673319009627,0.1,11.209733552923247,0.8999999999999992
17.82,-0.025720690979590607,0.0015887985121887846,0.1,11.209733552923247,0.8999999999999992
17.830000000000002,-0.025707898040564132,0.0013294051477594098,0.1,11.209733552923247,0.8999999999999992
17.84,-0.02555562438283464,0.0011321029987265778,0.1,11.209733552923247,0.8999999999999992
17.85,-0.02529849144996359,0.0009567678211947885,0.1,11.209733552923247,0.8999999999999992
17.86,-0.025014618783976462,0.0007246078421335889,0.1,11.209733552923247,0.8999999999999992
17.87,-0.024647736687851054,0.0005003834471691261,0.1,11.209733552923247,0.8999999999999992
17.88,-0.024221523929904776,0.0002619349788873041,0.1,11.209733552923247,0.8999999999999992
17.89,-0.023684155915523614,6.537904470197166e-05,0.1,11.209733552923247,0.8999999999999992
17.900000000000002,-0.0229868014470717,-4.218252086631511e-05,0.1,11.209733552923247,0.8999999999999992
17.91,-0.022293154701878932,-0.00023117125352832655,0.1,11.209733552923247,0.8999999999999992
17.92,-0.021506440452370053,-0.0003921219325953558,0.1,11.209733552923247,0.8999999999999992
17.93,-0.020643615533152825,-0.0005413281231459328,0.1,11.209733552923247,0.8999999999999992
17.94,-0.01966658870754413,-0.0006379554095075954,0.1,11.209733552923247,0.8999999999999992
17.95,-0.018602238497164202,-0.0007104760288234994,0.1,11.209733552923247,0.8999999999999992
17.96,-0.017503112409604903,-0.0008095883789744078,0.1,11.209733552923247,0.8999999999999992
17.97,-0.016351938626808258,-0.0009102479563772605,0.1,11.209733552923247,0.8999999999999992
17.98,-0.015177162444459586,-0.001035730981725989,0.1,11.209733552923247,0.8999999999999992
17.990000000000002,-0.013889843645660179,-0.0010891329523014643,0.1,11.209733552923247,0.8999999999999992
18.0,-0.012547911678435712,-0.0011311299953074834,0.1,11.209733552923247,0.8999999999999992
